risk,grade,module,pointId,pointName,pointDifficulty,pointStatus,prereqId,prereqName,prereqDifficulty,prereqStatus,sameModule
LOW,4,C5,g4-c5-c5-river,流水行船,3,active,g4-c5-c5-basic,基本行程,3,active,Y
LOW,4,C8,g4-c8-c8-extreme,最值问题,3,active,g4-m10-logic-reasoning,简单逻辑推理,1,active,N
LOW,4,C8,g4-c8-c8-drawer,抽屉原理,3,active,g4-m10-logic-reasoning,简单逻辑推理,1,active,N
LOW,4,C8,g4-c8-c8-logic,逻辑推理,3,active,g4-m10-logic-reasoning,简单逻辑推理,1,active,N
LOW,4,M10,g4-m10-g4-reason-opt,优化问题（沏茶、烙饼）,1,active,g4-m8-g4-word-opt,优化问题,1,active,N
LOW,4,M10,g4-m10-g4-reason-cr,鸡兔同笼（假设法）,1,active,g4-m8-g4-word-cr,鸡兔同笼,1,active,N
LOW,4,M11,g4-m11-g4-judge-read,大数读写,1,active,g4-m4-g4-fill-bignum,大数的认识,1,active,N
LOW,4,M11,g4-m11-g4-judge-law,运算律,1,active,g4-m3-g4-mix-addlaw,加法运算律简便计算,1,active,N
LOW,4,M11,g4-m11-g4-judge-angle,几何概念,1,active,g4-m4-g4-fill-angle,角的度量与分类,1,active,N
LOW,4,M11,g4-m11-g4-judge-line,线段、射线、直线,1,active,g4-m4-g4-fill-line,线段、射线、直线,1,active,N
LOW,4,M11,g4-m11-g4-judge-quotient,商不变规律,1,active,g4-m4-g4-fill-quotient,商不变规律,1,active,N
LOW,4,M11,g4-m11-g4-judge-dec,小数性质,1,active,g4-m4-g4-fill-dec,小数,1,active,N
LOW,4,M11,g4-m11-g4-judge-tri,三角形,1,active,g4-m4-g4-fill-tri,三角形,1,active,N
LOW,4,M11,g4-m11-stats,统计,1,active,g4-m9-g4-stats-bar,条形统计图（1 格表示多个单位）,1,active,N
LOW,4,M12,g4-m12-g4-choice-big,大数比较,1,active,g4-m4-g4-fill-bignum,大数的认识,1,active,N
LOW,4,M12,g4-m12-g4-choice-est,乘除法估算,1,active,g4-m2-g4-v-mul3x2,三位数乘两位数,1,active,N
LOW,4,M12,g4-m12-g4-choice-angle,角的认识,1,active,g4-m4-g4-fill-angle,角的度量与分类,1,active,N
LOW,4,M12,g4-m12-g4-choice-shape,图形特征,1,active,g4-m4-g4-fill-quad,平行四边形和梯形,1,active,N
LOW,4,M12,g4-m12-g4-choice-dec,小数意义,1,active,g4-m4-g4-fill-dec,小数,1,active,N
LOW,4,M12,g4-m12-g4-choice-law,运算律应用,1,active,g4-m3-g4-mix-addlaw,加法运算律简便计算,1,active,N
LOW,4,M2,g4-m2-g4-v-mulzero,因数中间或末尾有 0 的乘法,1,active,g4-m2-g4-v-mul3x2,三位数乘两位数,1,active,Y
LOW,4,M2,g4-m2-g4-v-div2q,商是两位数的除法,1,active,g4-m2-g4-v-div2,除数是两位数的除法,1,active,Y
LOW,4,M2,g4-m2-g4-v-dec,小数加减法竖式,1,active,g4-m1-g4-oral-dec,小数加减法口算,1,active,N
LOW,4,M3,g4-m3-g4-mix-addlaw,加法运算律简便计算,1,active,g4-m3-g4-mix-order,四则混合运算顺序,1,active,Y
LOW,4,M3,g4-m3-g4-mix-mullaw,乘法运算律简便计算,1,active,g4-m3-g4-mix-order,四则混合运算顺序,1,active,Y
LOW,4,M3,g4-m3-g4-mix-dist,乘法分配律简便计算,1,active,g4-m3-g4-mix-mullaw,乘法运算律简便计算,1,active,Y
LOW,4,M3,g4-m3-g4-mix-dec,小数加减简便计算,1,active,g4-m1-g4-oral-dec,小数加减法口算,1,active,N
LOW,4,M4,g4-m4-g4-fill-quad,平行四边形和梯形,1,active,g4-m4-g4-fill-line,线段、射线、直线,1,active,Y
LOW,4,M4,g4-m4-g4-fill-quad,平行四边形和梯形,1,active,g4-m4-g4-fill-angle,角的度量与分类,1,active,Y
LOW,4,M4,g4-m4-g4-fill-quotient,商不变规律,1,active,g4-m2-g4-v-div2,除数是两位数的除法,1,active,N
LOW,4,M4,g4-m4-g4-fill-tri,三角形,1,active,g4-m4-g4-fill-line,线段、射线、直线,1,active,Y
LOW,4,M4,g4-m4-g4-fill-tri,三角形,1,active,g4-m4-g4-fill-angle,角的度量与分类,1,active,Y
LOW,4,M4,g4-m4-g4-fill-avg,平均数,1,active,g4-m2-g4-v-div2,除数是两位数的除法,1,active,N
LOW,4,M5,g4-m5-g4-match-read,大数与读法连线,1,active,g4-m4-g4-fill-bignum,大数的认识,1,active,N
LOW,4,M5,g4-m5-g4-match-angle,角与度数连线,1,active,g4-m4-g4-fill-angle,角的度量与分类,1,active,N
LOW,4,M5,g4-m5-g4-match-shape,图形与特征连线,1,active,g4-m4-g4-fill-quad,平行四边形和梯形,1,active,N
LOW,4,M5,g4-m5-g4-match-law,运算律与字母表达式连线,1,active,g4-m3-g4-mix-addlaw,加法运算律简便计算,1,active,N
LOW,4,M6,g4-m6-g4-draw-protractor,用量角器量角、画角,1,active,g4-m4-g4-fill-angle,角的度量与分类,1,active,N
LOW,4,M6,g4-m6-g4-draw-para,画平行线、垂线,1,active,g4-m4-g4-fill-line,线段、射线、直线,1,active,N
LOW,4,M6,g4-m6-g4-draw-grid,在方格纸上画平行四边形、梯形,1,active,g4-m4-g4-fill-quad,平行四边形和梯形,1,active,N
LOW,4,M7,g4-m7-g4-pic-speed,速度时间路程图,1,active,g4-m1-g4-oral-mul3x1,三位数乘一位数口算,1,active,N
LOW,4,M7,g4-m7-g4-pic-dec,小数加减情境图,1,active,g4-m1-g4-oral-dec,小数加减法口算,1,active,N
LOW,4,M8,g4-m8-g4-word-big,大数应用,1,active,g4-m4-g4-fill-bignum,大数的认识,1,active,N
LOW,4,M8,g4-m8-g4-word-speed,乘法问题（速度×时间=路程）,1,active,g4-m2-g4-v-mul3x2,三位数乘两位数,1,active,N
LOW,4,M8,g4-m8-g4-word-div,除法问题（总量÷份数=每份数）,1,active,g4-m2-g4-v-div2,除数是两位数的除法,1,active,N
LOW,4,M8,g4-m8-g4-word-price,单价、数量、总价问题,1,active,g4-m2-g4-v-mul3x2,三位数乘两位数,1,active,N
LOW,4,M8,g4-m8-g4-word-area,面积问题（公顷/平方千米）,1,active,g4-m4-g4-fill-hectare,公顷和平方千米,1,active,N
LOW,4,M8,g4-m8-g4-word-opt,优化问题,1,active,g4-m8-g4-word-div,除法问题（总量÷份数=每份数）,1,active,Y
LOW,4,M8,g4-m8-g4-word-cr,鸡兔同笼,1,active,g4-m2-g4-v-mul3x2,三位数乘两位数,1,active,N
LOW,4,M8,g4-m8-g4-word-dec,小数加减问题,1,active,g4-m2-g4-v-dec,小数加减法竖式,1,active,N
LOW,4,M8,g4-m8-g4-word-avg,平均数问题,1,active,g4-m4-g4-fill-avg,平均数,1,active,N
LOW,4,M9,g4-m9-g4-stats-double,复式条形统计图,1,active,g4-m9-g4-stats-bar,条形统计图（1 格表示多个单位）,1,active,Y
LOW,4,M9,g4-m9-g4-stats-avg,平均数与统计,1,active,g4-m4-g4-fill-avg,平均数,1,active,N
LOW,5,M10,g5-m10-g5-reason-tree3,植树问题（三种情况）,1,active,g5-m8-g5-word-tree,植树问题,1,active,N
LOW,5,M10,g5-m10-g5-reason-defect,找次品（天平称量）,1,active,g5-m8-g5-word-defect,找次品,1,active,N
LOW,5,M11,g5-m11-g5-judge-decmul,小数乘除法,1,active,g5-m2-g5-v-decmul,小数乘法竖式,1,active,N
LOW,5,M11,g5-m11-g5-judge-equ,方程概念,1,active,g5-m4-g5-fill-equation,方程概念与等式的性质,1,active,N
LOW,5,M11,g5-m11-g5-judge-fm,因数与倍数,1,active,g5-m4-g5-fill-fm,因数与倍数的概念,1,active,N
LOW,5,M11,g5-m11-g5-judge-frac,分数的意义与性质,1,active,g5-m4-g5-fill-fracmean,分数的意义与分数单位,1,active,N
LOW,5,M11,g5-m11-g5-judge-area,多边形面积,1,active,g5-m4-g5-fill-area,多边形面积公式,1,active,N
LOW,5,M11,g5-m11-g5-judge-solid,长方体正方体,1,active,g5-m4-g5-fill-solid,长方体正方体特征与公式,1,active,N
LOW,5,M11,g5-m11-motion,图形的运动,1,active,g5-m4-g5-fill-rotate,旋转三要素,1,active,N
LOW,5,M11,g5-m11-g5-judge-possib,可能性,1,active,g5-m4-g5-fill-possible,可能性描述,1,active,N
LOW,5,M11,g5-m11-stats,统计,1,active,g5-m4-g5-fill-linechart,折线统计图特点,1,active,N
LOW,5,M12,g5-m12-g5-choice-decmul,小数乘除法,1,active,g5-m2-g5-v-decmul,小数乘法竖式,1,active,N
LOW,5,M12,g5-m12-g5-choice-equ,方程,1,active,g5-m4-g5-fill-equation,方程概念与等式的性质,1,active,N
LOW,5,M12,g5-m12-g5-choice-fm,因数与倍数,1,active,g5-m4-g5-fill-fm,因数与倍数的概念,1,active,N
LOW,5,M12,g5-m12-g5-choice-frac,分数的意义与性质,1,active,g5-m4-g5-fill-fracmean,分数的意义与分数单位,1,active,N
LOW,5,M12,g5-m12-g5-choice-area,多边形的面积,1,active,g5-m4-g5-fill-area,多边形面积公式,1,active,N
LOW,5,M12,g5-m12-g5-choice-solid,长方体正方体容积,1,active,g5-m4-g5-fill-solid,长方体正方体特征与公式,1,active,N
LOW,5,M12,g5-m12-motion,图形的运动,1,active,g5-m4-g5-fill-rotate,旋转三要素,1,active,N
LOW,5,M12,g5-m12-g5-choice-possib,可能性,1,active,g5-m4-g5-fill-possible,可能性描述,1,active,N
LOW,5,M12,g5-m12-stats,统计,1,active,g5-m4-g5-fill-linechart,折线统计图特点,1,active,N
LOW,5,M2,g5-m2-g5-v-ddivdec,除数是小数的小数除法竖式,1,active,g5-m2-g5-v-divint,除数是整数的小数除法竖式,1,active,Y
LOW,5,M2,g5-m2-g5-v-repeating,循环小数竖式表示,1,active,g5-m2-g5-v-ddivdec,除数是小数的小数除法竖式,1,active,Y
LOW,5,M3,g5-m3-g5-mix-fracmixed,分数加减混合运算,1,active,g5-m1-g5-oral-fracadd,同分母分数加减法口算,1,active,N
LOW,5,M3,g5-m3-g5-mix-fracsimple,运算律推广到分数简便计算,1,active,g5-m3-g5-mix-fracmixed,分数加减混合运算,1,active,Y
LOW,5,M4,g5-m4-g5-fill-deccmp,小数大小比较,1,active,g5-m4-g5-fill-decloc,小数的计数单位与数位,1,active,Y
LOW,5,M4,g5-m4-g5-fill-repeating,循环小数与简便记法,1,active,g5-m2-g5-v-repeating,循环小数竖式表示,1,active,N
LOW,5,M4,g5-m4-g5-fill-prime,质数与合数,1,active,g5-m4-g5-fill-fm,因数与倍数的概念,1,active,Y
LOW,5,M4,g5-m4-g5-fill-fracprop,分数的基本性质（约分、通分）,1,active,g5-m4-g5-fill-fracmean,分数的意义与分数单位,1,active,Y
LOW,5,M4,g5-m4-g5-fill-fracdec,分数与小数的互化,1,active,g5-m4-g5-fill-fracprop,分数的基本性质（约分、通分）,1,active,Y
LOW,5,M5,g5-m5-g5-match-areaf,图形与面积公式连线,1,active,g5-m4-g5-fill-area,多边形面积公式,1,active,N
LOW,5,M5,g5-m5-g5-match-solid,立体图形特征连线,1,active,g5-m4-g5-fill-solid,长方体正方体特征与公式,1,active,N
LOW,5,M5,g5-m5-g5-match-possib,事件与可能性描述连线,1,active,g5-m4-g5-fill-possible,可能性描述,1,active,N
LOW,5,M5,g5-m5-g5-match-equ,方程与解连线,1,active,g5-m4-g5-fill-equation,方程概念与等式的性质,1,active,N
LOW,5,M5,g5-m5-g5-match-fracdec,分数与小数连线,1,active,g5-m4-g5-fill-fracdec,分数与小数的互化,1,active,N
LOW,5,M6,g5-m6-g5-draw-rotate,画旋转后的图形,1,active,g5-m4-g5-fill-rotate,旋转三要素,1,active,N
LOW,5,M6,g5-m6-g5-draw-height,画多边形的高,1,active,g5-m4-g5-fill-area,多边形面积公式,1,active,N
LOW,5,M6,g5-m6-g5-draw-coord,用数对表示位置,1,active,g5-m4-g5-fill-coord,数对的含义,1,active,N
LOW,5,M6,g5-m6-g5-draw-net,长方体展开图,1,active,g5-m4-g5-fill-solid,长方体正方体特征与公式,1,active,N
LOW,5,M7,g5-m7-g5-pic-balance,天平平衡图（列方程）,1,active,g5-m4-g5-fill-equation,方程概念与等式的性质,1,active,N
LOW,5,M7,g5-m7-g5-pic-area,多边形面积图,1,active,g5-m4-g5-fill-area,多边形面积公式,1,active,N
LOW,5,M8,g5-m8-g5-word-decmul,小数乘法应用题,1,active,g5-m2-g5-v-decmul,小数乘法竖式,1,active,N
LOW,5,M8,g5-m8-g5-word-decdiv,小数除法应用题（进一法、去尾法）,1,active,g5-m2-g5-v-divint,除数是整数的小数除法竖式,1,active,N
LOW,5,M8,g5-m8-g5-word-equ,列方程解决问题,1,active,g5-m4-g5-fill-equation,方程概念与等式的性质,1,active,N
LOW,5,M8,g5-m8-g5-word-fm,因数与倍数简单应用,1,active,g5-m4-g5-fill-fm,因数与倍数的概念,1,active,N
LOW,5,M8,g5-m8-g5-word-frac,分数加减法应用题,1,active,g5-m4-g5-fill-fracmean,分数的意义与分数单位,1,active,N
LOW,5,M8,g5-m8-g5-word-area,多边形面积应用题,1,active,g5-m4-g5-fill-area,多边形面积公式,1,active,N
LOW,5,M8,g5-m8-g5-word-solid,长方体正方体应用题,1,active,g5-m4-g5-fill-solid,长方体正方体特征与公式,1,active,N
LOW,5,M8,g5-m8-g5-word-possib,可能性问题,1,active,g5-m4-g5-fill-possible,可能性描述,1,active,N
LOW,5,M8,g5-m8-g5-word-linechart,折线统计图分析,1,active,g5-m4-g5-fill-linechart,折线统计图特点,1,active,N
LOW,5,M8,g5-m8-g5-word-tree,植树问题,1,active,g5-m7-g5-pic-tree,植树问题示意图,1,active,N
LOW,5,M8,g5-m8-g5-word-defect,找次品,1,active,g5-m8-g5-word-decdiv,小数除法应用题（进一法、去尾法）,1,active,Y
LOW,5,M9,g5-m9-g5-stats-possib,可能性大小比较,1,active,g5-m4-g5-fill-possible,可能性描述,1,active,N
LOW,5,M9,g5-m9-g5-stats-line1,单式折线统计图,1,active,g5-m4-g5-fill-linechart,折线统计图特点,1,active,N
LOW,5,M9,g5-m9-g5-stats-line2,复式折线统计图,1,active,g5-m9-g5-stats-line1,单式折线统计图,1,active,Y
LOW,6,M1,g6-m1-g6-oral-frac-mult-frac,分数乘分数,1,active,g6-m1-g6-oral-frac-mult-int,分数乘整数,1,active,Y
LOW,6,M1,g6-m1-g6-oral-frac-div-frac,一个数除以分数,1,active,g6-m1-g6-oral-frac-div-int,分数除以整数,1,active,Y
LOW,6,M1,g6-m1-g6-oral-neg-add-sub,负数加减,1,active,g6-m4-g6-fill-negative,负数的意义与读写,1,active,N
LOW,6,M10,g6-m10-g6-reason-pigeonhole,鸽巢问题（抽屉原理）,1,active,g6-m8-g6-app-pigeonhole,鸽巢问题简单应用,1,active,N
LOW,6,M11,g6-m11-g6-judge-circle,圆的概念辨析,1,active,g6-m4-g6-fill-circle,圆的周长与面积公式,1,active,N
LOW,6,M11,g6-m11-g6-judge-cyl-cone,圆柱圆锥体积关系,1,active,g6-m4-g6-fill-cylinder-cone,圆柱侧面积、表面积、体积与圆锥体积,1,active,N
LOW,6,M11,g6-m11-g6-judge-negative,负数大小比较,1,active,g6-m4-g6-fill-negative,负数的意义与读写,1,active,N
LOW,6,M11,g6-m11-g6-judge-percent-ratio,百分数与比的性质,1,active,g6-m4-g6-fill-percent,百分数的意义、互化与折扣,1,active,N
LOW,6,M11,g6-m11-g6-judge-chart,统计图特点辨析,1,active,g6-m4-g6-fill-pie-chart,扇形统计图的特点,1,active,N
LOW,6,M12,g6-m12-g6-choice-negative,负数比较与数轴,1,active,g6-m4-g6-fill-negative,负数的意义与读写,1,active,N
LOW,6,M12,g6-m12-g6-choice-percent,分数百分数互化与比较,1,active,g6-m4-g6-fill-percent,百分数的意义、互化与折扣,1,active,N
LOW,6,M12,g6-m12-g6-choice-circle,圆的计算选择题,1,active,g6-m4-g6-fill-circle,圆的周长与面积公式,1,active,N
LOW,6,M12,g6-m12-g6-choice-cyl-cone,圆柱圆锥计算选择题,1,active,g6-m4-g6-fill-cylinder-cone,圆柱侧面积、表面积、体积与圆锥体积,1,active,N
LOW,6,M12,g6-m12-g6-choice-chart,统计图选择,1,active,g6-m4-g6-fill-pie-chart,扇形统计图的特点,1,active,N
LOW,6,M2,g6-m2-g6-calc-frac-mult-div,分数乘除笔算,1,active,g6-m1-g6-oral-frac-mult-frac,分数乘分数,1,active,N
LOW,6,M2,g6-m2-g6-calc-solve-proportion,解比例,1,active,g6-m4-g6-fill-ratio,比和比例的基本性质,1,active,N
LOW,6,M3,g6-m3-g6-mixed-frac-order,分数四则混合运算,1,active,g6-m2-g6-calc-frac-mult-div,分数乘除笔算,1,active,N
LOW,6,M4,g6-m4-g6-fill-percent,百分数的意义、互化与折扣,1,active,g6-m1-g6-oral-dec-perc,小数与百分数互化,1,active,N
LOW,6,M4,g6-m4-g6-fill-ratio,比和比例的基本性质,1,active,g6-m1-g6-oral-ratio-simp,求比值与化简比,1,active,N
LOW,6,M5,g6-m5-g6-match-proportion,正比例与反比例判断,1,active,g6-m4-g6-fill-ratio,比和比例的基本性质,1,active,N
LOW,6,M5,g6-m5-g6-match-formula,图形与公式配对,1,active,g6-m4-g6-fill-circle,圆的周长与面积公式,1,active,N
LOW,6,M5,g6-m5-g6-match-chart,统计图类型与特点配对,1,active,g6-m4-g6-fill-pie-chart,扇形统计图的特点,1,active,N
LOW,6,M6,g6-m6-g6-op-circle,画圆与圆的认识,1,active,g6-m4-g6-fill-circle,圆的周长与面积公式,1,active,N
LOW,6,M7,g6-m7-g6-pic-frac-line,分数应用题线段图,1,active,g6-m8-g6-app-frac-mult,求一个数的几分之几是多少（分数乘法）,1,active,N
LOW,6,M7,g6-m7-g6-pic-pie-chart,扇形统计图看图计算,1,active,g6-m4-g6-fill-pie-chart,扇形统计图的特点,1,active,N
LOW,6,M7,g6-m7-g6-pic-scale,比例尺图,1,active,g6-m4-g6-fill-ratio,比和比例的基本性质,1,active,N
LOW,6,M8,g6-m8-g6-app-frac-mult,求一个数的几分之几是多少（分数乘法）,1,active,g6-m1-g6-oral-frac-mult-frac,分数乘分数,1,active,N
LOW,6,M8,g6-m8-g6-app-frac-div,已知一个数的几分之几求这个数（分数除法）,1,active,g6-m1-g6-oral-frac-div-frac,一个数除以分数,1,active,N
LOW,6,M8,g6-m8-g6-app-percent-discount,折扣、成数、税率、利率百分数应用,1,active,g6-m4-g6-fill-percent,百分数的意义、互化与折扣,1,active,N
LOW,6,M8,g6-m8-g6-app-ratio-prop,比和比例的应用（比例尺、按比例分配、用比例解）,1,active,g6-m4-g6-fill-ratio,比和比例的基本性质,1,active,N
LOW,6,M8,g6-m8-g6-app-circle,圆的周长和面积应用,1,active,g6-m4-g6-fill-circle,圆的周长与面积公式,1,active,N
LOW,6,M8,g6-m8-g6-app-cyl-cone,圆柱圆锥体积与表面积应用,1,active,g6-m4-g6-fill-cylinder-cone,圆柱侧面积、表面积、体积与圆锥体积,1,active,N
LOW,6,M8,g6-m8-g6-app-travel-work,行程、工程问题（分数除法应用）,1,active,g6-m8-g6-app-frac-div,已知一个数的几分之几求这个数（分数除法）,1,active,Y
LOW,6,M9,g6-m9-g6-stat-pie-chart,扇形统计图的选择与读图,1,active,g6-m4-g6-fill-pie-chart,扇形统计图的特点,1,active,N
