oldId,newId,grade,moduleId,slug,name,description,example,prerequisiteSuggestion,relatedSuggestion,difficulty,status
readwrite,g2-m4-readwrite,2,M4,2-readwrite,万以内数的读写,能正确读、写万以内的数。,写作：三千零五。（答案：3005）,,,1,active
compose-4,g2-m4-compose-4,2,M4,2-compose-4,数的组成与数位,理解万以内数的组成及个、十、百、千数位。,4567里有几个千、几个百、几个十、几个一？,,,1,active
approx,g2-m4-approx,2,M4,2-approx,近似数,会用“约”“大概”表示接近整十、整百的数。,298约是多少？（答案：约300）,,,1,active
unit-convert,g2-m4-unit-convert,2,M4,2-unit-convert,单位换算,进行长度单位间的换算。,1米 = ?厘米（答案：100厘米）,,,1,active
fill-unit,g2-m4-fill-unit,2,M4,2-fill-unit,填合适单位,根据情境选择合适的长度单位。,课桌高约70（  ）。（答案：厘米）,,,1,active
shapes-2,g2-m6-shapes-2,2,M6,2-shapes-2,认识图形,认识角、长方形、正方形等并分辨其特征。,正方形有几条边？（答案：4条）,,,1,active
angles,g2-m6-angles,2,M6,2-angles,角的初步认识,认识角，知道角的顶点和边等各部分名称。,一个角有（  ）个顶点和（  ）条边。（答案：1个顶点，2条边）,,,1,active
motion,g2-m6-motion,2,M6,2-motion,图形的运动,认识平移和旋转等图形运动现象。,推拉窗户属于（  ）现象。（答案：平移）,,,1,active
grid,g2-m6-grid,2,M6,2-grid,方格纸,在方格纸上数图形或画图形。,数出方格纸上长方形的个数。,,,1,active
wp-solve,g2-m8-wp-solve,2,M8,2-wp-solve,解决问题,解决两步计算的实际问题。,每盒有6块糖，3盒共几块？吃掉4块还剩几块？（答案：14块）,,,1,active
data-tally,g2-m9-data-tally,2,M9,2-data-tally,数据收集与整理,用“正”字等方法收集数据并整理。,用画“正”字的方法统计喜欢的水果。,,,1,active
data-question,g2-m9-data-question,2,M9,2-data-question,根据统计结果回答问题,读取统计表或统计图，回答简单问题。,根据统计结果，哪一类人数最多？,,,1,active
logic-reasoning,g2-m10-logic-reasoning,2,M10,2-logic-reasoning,简单逻辑推理,根据已知条件进行简单逻辑推理。,甲比乙高，乙比丙高，谁最矮？（答案：丙）,,,1,active
sudoku3,g2-m10-sudoku3,2,M10,2-sudoku3,3×3 数独,在3×3格中填入1-3，使每行、每列数字不重复。,完成给定部分数字的3×3数独。,,,1,active
g3-add-sub-wan,g3-m1-g3-add-sub-wan,3,M1,3-g3-add-sub-wan,万以内的加减法,掌握万以内的进位加法与退位减法。,3456+2789=?（答案：6245）,,,1,active
g3-mul-multi1,g3-m1-g3-mul-multi1,3,M1,3-g3-mul-multi1,多位数乘一位数,掌握多位数乘一位数的笔算方法。,234×3=?（答案：702）,,,1,active
g3-div1,g3-m1-g3-div1,3,M1,3-g3-div1,除数是一位数的除法,掌握一位数除多位数的笔算方法。,96÷3=?（答案：32）,,,1,active
g3-mul-2digit,g3-m1-g3-mul-2digit,3,M1,3-g3-mul-2digit,两位数乘两位数,掌握两位数乘两位数的笔算方法。,23×12=?（答案：276）,,,1,active
g3-fraction,g3-m4-g3-fraction,3,M4,3-g3-fraction,分数的初步认识,认识几分之一和几分之几，会读会写分数。,把一个披萨平均分成4份，每份是它的（  ）。（答案：1/4）,,,1,active
g3-decimal,g3-m4-g3-decimal,3,M4,3-g3-decimal,小数的初步认识,认识小数，会读写小数并与元角分联系。,0.5元 = ?角（答案：5角）,,,1,active
g3-time,g3-m4-g3-time,3,M4,3-g3-time,时、分、秒,认识时间单位时、分、秒及其进率。,1分 = ?秒（答案：60秒）,,,1,active
g3-year-month,g3-m4-g3-year-month,3,M4,3-g3-year-month,年、月、日,认识年、月、日，知道大月小月及天数。,一年有几个月？（答案：12个月）,,,1,active
g3-measure,g3-m4-g3-measure,3,M4,3-g3-measure,测量,用毫米、分米、千米等长度单位进行测量。,字典厚约4（  ）。（答案：厘米或毫米）,,,1,active
g3-perimeter,g3-m6-g3-perimeter,3,M6,3-g3-perimeter,长方形正方形的周长,理解周长的含义，会计算长方形、正方形的周长。,边长5厘米的正方形周长是多少？（答案：20厘米）,,,1,active
g3-area,g3-m6-g3-area,3,M6,3-g3-area,面积,认识面积，会用面积单位度量平面图形大小。,边长为1厘米的正方形面积是？（答案：1平方厘米）,,,1,active
g3-position,g3-m6-g3-position,3,M6,3-g3-position,位置与方向,认识东、南、西、北等方向并描述位置。,太阳从（  ）方升起。（答案：东）,,,1,active
g3-times,g3-m8-g3-times,3,M8,3-g3-times,倍的认识,理解“倍”的含义，求一个数是另一个数的几倍。,6是2的几倍？（答案：3倍）,,,1,active
g3-stats-table,g3-m9-g3-stats-table,3,M9,3-g3-stats-table,复式统计表,把多组数据合并记录在一张复式统计表里。,把男女生喜欢的运动填进同一张复式统计表。,,,1,active
g3-combination,g3-m10-g3-combination,3,M10,3-g3-combination,搭配问题,用搭配、连线等方法有序找出全部组合。,2件上衣和3条裤子有几种搭配？（答案：6种）,,,1,active
g3-set,g3-m10-g3-set,3,M10,3-g3-set,集合思想,用集合（韦恩图）表示重叠关系并计数。,会游泳5人，会骑车4人，两项都会2人，至少会一项的几人？（答案：7人）,,,1,active
g4-oral-big,g4-m1-g4-oral-big,4,M1,4-g4-oral-big,大数加减口算,对万以上的大数进行加减法口算。,50000+3000=?（答案：53000）,,,1,active
g4-oral-mul3x1,g4-m1-g4-oral-mul3x1,4,M1,4-g4-oral-mul3x1,三位数乘一位数口算,整百、整千数乘一位数的口算。,300×4=?（答案：1200）,,,1,active
g4-oral-mul2t,g4-m1-g4-oral-mul2t,4,M1,4-g4-oral-mul2t,两位数乘整十数口算,两位数乘整十数的口算。,12×30=?（答案：360）,,,1,active
g4-oral-divt,g4-m1-g4-oral-divt,4,M1,4-g4-oral-divt,除数是整十数的口算,几百几十除以整十数的口算。,240÷60=?（答案：4）,,,1,active
g4-oral-dec,g4-m1-g4-oral-dec,4,M1,4-g4-oral-dec,小数加减法口算,简单的小数加减法口算。,0.3+0.5=?（答案：0.8）,,,1,active
g4-oral-law,g4-m1-g4-oral-law,4,M1,4-g4-oral-law,运用运算律简便口算,用加法交换律、结合律进行简便口算。,25+37+75=?（答案：137）,,,1,active
g4-v-mul3x2,g4-m2-g4-v-mul3x2,4,M2,4-g4-v-mul3x2,三位数乘两位数,三位数乘两位数的笔算。,123×45=?（答案：5535）,,,1,active
g4-v-mulzero,g4-m2-g4-v-mulzero,4,M2,4-g4-v-mulzero,因数中间或末尾有 0 的乘法,因数中间或末尾有0的乘法笔算。,203×40=?（答案：8120）,,,1,active
g4-v-div2,g4-m2-g4-v-div2,4,M2,4-g4-v-div2,除数是两位数的除法,两位数除多位数的笔算。,144÷12=?（答案：12）,,,1,active
g4-v-div2q,g4-m2-g4-v-div2q,4,M2,4-g4-v-div2q,商是两位数的除法,被除数是三位数、商是两位数的除法笔算。,252÷14=?（答案：18）,,,1,active
g4-v-dec,g4-m2-g4-v-dec,4,M2,4-g4-v-dec,小数加减法竖式,小数加减法列竖式计算（小数点对齐）。,3.5+2.75=?（答案：6.25）,,,1,active
g4-mix-order,g4-m3-g4-mix-order,4,M3,4-g4-mix-order,四则混合运算顺序,掌握先乘除后加减及带括号的四则混合运算顺序。,12+8×3=?（答案：36）,,,1,active
g4-mix-addlaw,g4-m3-g4-mix-addlaw,4,M3,4-g4-mix-addlaw,加法运算律简便计算,用加法交换律、结合律进行简便计算。,167+358+33=?（答案：558）,,,1,active
g4-mix-mullaw,g4-m3-g4-mix-mullaw,4,M3,4-g4-mix-mullaw,乘法运算律简便计算,用乘法交换律、结合律进行简便计算。,25×7×4=?（答案：700）,,,1,active
g4-mix-dist,g4-m3-g4-mix-dist,4,M3,4-g4-mix-dist,乘法分配律简便计算,运用乘法分配律 a×(b+c)=a×b+a×c 简便计算。,25×(4+8)=?（答案：300）,,,1,active
g4-mix-dec,g4-m3-g4-mix-dec,4,M3,4-g4-mix-dec,小数加减简便计算,运用运算律进行小数加减简便计算。,4.6+3.2+5.4=?（答案：13.2）,,,1,active
g4-fill-bignum,g4-m4-g4-fill-bignum,4,M4,4-g4-fill-bignum,大数的认识,认识亿以内的数，会读、写、比较大数。,读作：三千零四十万零五百。（答案：30400500）,,,1,active
g4-fill-hectare,g4-m4-g4-fill-hectare,4,M4,4-g4-fill-hectare,公顷和平方千米,认识土地面积单位公顷、平方千米及换算。,1公顷 = ?平方米（答案：10000平方米）,,,1,active
g4-fill-line,g4-m4-g4-fill-line,4,M4,4-g4-fill-line,线段、射线、直线,认识线段、射线、直线及它们之间的区别。,有2个端点的是？（答案：线段）,,,1,active
g4-fill-angle,g4-m4-g4-fill-angle,4,M4,4-g4-fill-angle,角的度量与分类,用量角器量角，区分锐角、直角、钝角。,90°的角是？（答案：直角）,,,1,active
g4-fill-quad,g4-m4-g4-fill-quad,4,M4,4-g4-fill-quad,平行四边形和梯形,认识平行四边形和梯形及其特征。,平行四边形的对边（  ）。（答案：平行且相等）,,,1,active
g4-fill-op,g4-m4-g4-fill-op,4,M4,4-g4-fill-op,四则运算的意义与关系、0 的运算,理解加减乘除的互逆关系及0的运算性质。,0除以非0的数得？（答案：0）,,,1,active
g4-fill-quotient,g4-m4-g4-fill-quotient,4,M4,4-g4-fill-quotient,商不变规律,被除数和除数同时乘或除以相同数（0除外），商不变。,48÷6=(48×2)÷(6×?)（答案：×2）,,,1,active
g4-fill-dec,g4-m4-g4-fill-dec,4,M4,4-g4-fill-dec,小数,认识小数的意义、数位和读写方法。,0.06表示几个百分之一？（答案：6个）,,,1,active
g4-fill-tri,g4-m4-g4-fill-tri,4,M4,4-g4-fill-tri,三角形,认识三角形特性，按角或边分类。,三角形的内角和是？（答案：180°）,,,1,active
g4-fill-avg,g4-m4-g4-fill-avg,4,M4,4-g4-fill-avg,平均数,理解平均数的意义及求法。,三科成绩90、80、70的平均分？（答案：80）,,,1,active
g4-match-read,g4-m5-g4-match-read,4,M5,4-g4-match-read,大数与读法连线,把大数与正确的读法连线。,连线：3050000 —— 三百零五万。,,,1,active
g4-match-angle,g4-m5-g4-match-angle,4,M5,4-g4-match-angle,角与度数连线,把角与其度数或名称连线。,连线：直角 —— 90°。,,,1,active
g4-match-shape,g4-m5-g4-match-shape,4,M5,4-g4-match-shape,图形与特征连线,把图形与其特征描述连线。,连线：平行四边形 —— 对边平行且相等。,,,1,active
g4-match-law,g4-m5-g4-match-law,4,M5,4-g4-match-law,运算律与字母表达式连线,把运算律与其字母表达式连线。,连线：乘法分配律 —— a(b+c)=ab+ac。,,,1,active
g4-match-decfrac,g4-m5-g4-match-decfrac,4,M5,4-g4-match-decfrac,小数与分数连线,把小数与相等的分数连线。,连线：0.5 —— 1/2。,,,1,active
g4-draw-protractor,g4-m6-g4-draw-protractor,4,M6,4-g4-draw-protractor,用量角器量角、画角,会用量角器量角和画指定度数的角。,画一个60°的角。,,,1,active
g4-draw-para,g4-m6-g4-draw-para,4,M6,4-g4-draw-para,画平行线、垂线,用直尺和三角板画平行线和垂线。,过直线外一点画它的垂线。,,,1,active
g4-draw-grid,g4-m6-g4-draw-grid,4,M6,4-g4-draw-grid,在方格纸上画平行四边形、梯形,在方格纸上按要求画平行四边形、梯形。,在方格纸上画一个平行四边形。,,,1,active
g4-draw-view,g4-m6-g4-draw-view,4,M6,4-g4-draw-view,观察物体,从不同方向观察同一物体并画出视图。,画出正方体从正面看到的形状。,,,1,active
g4-draw-sym,g4-m6-g4-draw-sym,4,M6,4-g4-draw-sym,画轴对称图形,补全或画出轴对称图形。,画出给定图形的另一半，使它成为轴对称图形。,,,1,active
g4-draw-move,g4-m6-g4-draw-move,4,M6,4-g4-draw-move,图形平移,按要求把图形平移若干格。,把三角形向右平移5格。,,,1,active
g4-pic-segment,g4-m7-g4-pic-segment,4,M7,4-g4-pic-segment,线段图列式（倍数问题）,画线段图分析倍数关系并列式。,甲是乙的3倍，乙是4，甲是多少？（答案：12）,,,1,active
g4-pic-brace,g4-m7-g4-pic-brace,4,M7,4-g4-pic-brace,大括号图列式（加减）,用大括号图表示总数与部分的关系。,两部分共9，一部分是5，另一部分是？（答案：4）,,,1,active
g4-pic-speed,g4-m7-g4-pic-speed,4,M7,4-g4-pic-speed,速度时间路程图,用线段图表示速度×时间=路程。,速度60、时间2，路程？（答案：120）,,,1,active
g4-pic-dec,g4-m7-g4-pic-dec,4,M7,4-g4-pic-dec,小数加减情境图,看图列出小数加减算式。,图：苹果3.5元、梨2元，一共？（答案：5.5元）,,,1,active
g4-word-big,g4-m8-g4-word-big,4,M8,4-g4-word-big,大数应用,对大数进行读写与实际应用。,某省人口约9043万，把它写出来。,,,1,active
g4-word-speed,g4-m8-g4-word-speed,4,M8,4-g4-word-speed,乘法问题（速度×时间=路程）,用速度×时间=路程解决乘法问题。,速度50千米/时，行3时，路程？（答案：150千米）,,,1,active
g4-word-div,g4-m8-g4-word-div,4,M8,4-g4-word-div,除法问题（总量÷份数=每份数）,把总数平均分，用除法解决问题。,120颗糖分给4人，每人？（答案：30颗）,,,1,active
g4-word-price,g4-m8-g4-word-price,4,M8,4-g4-word-price,单价、数量、总价问题,用单价×数量=总价解决购物问题。,每本8元，买5本共？（答案：40元）,,,1,active
g4-word-area,g4-m8-g4-word-area,4,M8,4-g4-word-area,面积问题（公顷/平方千米）,用土地面积单位解决面积问题。,边长100米的正方形地面积是？（答案：1公顷）,,,1,active
g4-word-opt,g4-m8-g4-word-opt,4,M8,4-g4-word-opt,优化问题,合理安排工序，使总时间最少。,煮饭的同时炒菜，怎样安排最省时？,,,1,active
g4-word-cr,g4-m8-g4-word-cr,4,M8,4-g4-word-cr,鸡兔同笼,用假设法解决鸡兔同笼问题。,头10、脚28，鸡兔各几只？（答案：鸡6兔4）,,,1,active
g4-word-dec,g4-m8-g4-word-dec,4,M8,4-g4-word-dec,小数加减问题,解决小数加减法的实际问题。,买笔花3.5元、本子2.8元，共？（答案：6.3元）,,,1,active
g4-word-avg,g4-m8-g4-word-avg,4,M8,4-g4-word-avg,平均数问题,用平均数解决实际问题。,4天分别读10、15、20、15页，平均每天？（答案：15页）,,,1,active
g4-stats-bar,g4-m9-g4-stats-bar,4,M9,4-g4-stats-bar,条形统计图（1 格表示多个单位）,绘制并读取一格代表多个单位的条形统计图。,一格代表5，画出表示20的直条。,,,1,active
g4-stats-double,g4-m9-g4-stats-double,4,M9,4-g4-stats-double,复式条形统计图,在同一图中表示两组数据的复式条形统计图。,画出男女生身高的复式条形图。,,,1,active
g4-stats-avg,g4-m9-g4-stats-avg,4,M9,4-g4-stats-avg,平均数与统计,结合平均数分析统计数据。,两组平均成绩谁更高？,,,1,active
g4-reason-opt,g4-m10-g4-reason-opt,4,M10,4-g4-reason-opt,优化问题（沏茶、烙饼）,用统筹方法使时间最少（沏茶、烙饼）。,烙3张饼最少要几分钟（每面1分）？（答案：3分）,,,1,active
g4-reason-cr,g4-m10-g4-reason-cr,4,M10,4-g4-reason-cr,鸡兔同笼（假设法）,用假设法系统地解决鸡兔同笼。,假设全是鸡，再调整求出兔的只数。,,,1,active
g4-reason-logic,g4-m10-g4-reason-logic,4,M10,4-g4-reason-logic,简单逻辑推理,用列表法等进行简单逻辑推理。,甲、乙、丙各擅长不同项目，推理谁会什么。,,,1,active
g4-judge-read,g4-m11-g4-judge-read,4,M11,4-g4-judge-read,大数读写,判断大数的读、写是否正确。,判断：3000500读作三百万零五百。（对）,,,1,active
g4-judge-law,g4-m11-g4-judge-law,4,M11,4-g4-judge-law,运算律,判断对运算律的应用是否正确。,判断：25×4×25×8=25×(4+8)。（错）,,,1,active
g4-judge-angle,g4-m11-g4-judge-angle,4,M11,4-g4-judge-angle,几何概念,判断角的有关概念。,判断：钝角大于90°。（对）,,,1,active
g4-judge-line,g4-m11-g4-judge-line,4,M11,4-g4-judge-line,线段、射线、直线,判断线段、射线、直线的特征。,判断：射线有一个端点。（对）,,,1,active
g4-judge-quotient,g4-m11-g4-judge-quotient,4,M11,4-g4-judge-quotient,商不变规律,判断商不变规律的表述。,判断：被除数、除数同乘5，商变。（错）,,,1,active
g4-judge-dec,g4-m11-g4-judge-dec,4,M11,4-g4-judge-dec,小数性质,判断小数的性质。,判断：0.3=0.30。（对）,,,1,active
g4-judge-tri,g4-m11-g4-judge-tri,4,M11,4-g4-judge-tri,三角形,判断三角形的分类与性质。,判断：等边三角形是锐角三角形。（对）,,,1,active
g4-judge-stats,g4-m11-g4-judge-stats,4,M11,4-g4-judge-stats,统计,判断统计图相关的说法。,判断：条形图能比较数量多少。（对）,,,1,active
g4-choice-big,g4-m12-g4-choice-big,4,M12,4-g4-choice-big,大数比较,比较亿以内数的大小。,比较304050与340050。（答案：304050<340050）,,,1,active
g4-choice-est,g4-m12-g4-choice-est,4,M12,4-g4-choice-est,乘除法估算,对乘除法进行估算。,估算：298×4≈？（答案：约1200）,,,1,active
g4-choice-angle,g4-m12-g4-choice-angle,4,M12,4-g4-choice-angle,角的认识,选择角的类型或度数。,钟面3时，分针与时针的夹角是？（答案：直角）,,,1,active
g4-choice-shape,g4-m12-g4-choice-shape,4,M12,4-g4-choice-shape,图形特征,选择图形的特征描述。,trapezoid 的中文是？（答案：梯形）,,,1,active
g4-choice-dec,g4-m12-g4-choice-dec,4,M12,4-g4-choice-dec,小数意义,选择小数表示的意义。,0.7表示？（答案：7个0.1）,,,1,active
g4-choice-law,g4-m12-g4-choice-law,4,M12,4-g4-choice-law,运算律应用,选择运用运算律的简便算法。,25×32最简便地写成？（答案：25×4×8）,,,1,active
c1-vertical,g4-c1-c1-vertical,4,C1,4-c1-vertical,竖式数字谜,根据竖式中已知的部分数字，推理填出完整的竖式。,□5+3□=82，求出两个□中的数字。,,,3,active
c1-horizontal,g4-c1-c1-horizontal,4,C1,4-c1-horizontal,横式数字谜,在横式中填入合适的数字，使等式成立。,□+□=9，且两个□中的数字不同。,,,3,active
c1-symbol,g4-c1-c1-symbol,4,C1,4-c1-symbol,符号代表数,用图形或符号代表未知的數字进行推理。,△+△=10，△=?（答案：5）,,,3,active
c1-array,g4-c1-c1-array,4,C1,4-c1-array,数阵图,把数填入图中，使每行、每列的和相等。,在三阶数阵中填1-9，使每行每列和都为15。,,,3,active
c1-magic,g4-c1-c1-magic,4,C1,4-c1-magic,幻方,理解幻方的规律并填数。,完成中间为5的三阶幻方。,,,3,active
c2-parity,g4-c2-c2-parity,4,C2,4-c2-parity,奇偶性与运算规律,利用奇偶性判断运算结果的奇偶。,奇数+奇数=?（答案：偶数）,,,3,active
c2-divisible,g4-c2-c2-divisible,4,C2,4-c2-divisible,整除特征（2/3/5/9）,掌握能被2、3、5、9整除的数的特征。,下列各数中能被3整除的是？（答案：123）,,,3,active
c2-prime,g4-c2-c2-prime,4,C2,4-c2-prime,质数与合数,认识质数与合数，并能判断。,下列各数中是质数的是？（答案：7）,,,3,active
c2-factor,g4-c2-c2-factor,4,C2,4-c2-factor,因数与倍数,理解因数与倍数相互依存的关系。,6的因数有？（答案：1、2、3、6）,,,3,active
c2-remainder,g4-c2-c2-remainder,4,C2,4-c2-remainder,余数问题,解决带余除法的应用问题。,□÷5=3……2，□=?（答案：17）,,,3,active
c2-place,g4-c2-c2-place,4,C2,4-c2-place,位值原理,利用数字所在数位的值进行推理。,一个两位数，十位是个位的2倍，它可能是哪些数？,,,3,active
c3-enum,g4-c3-c3-enum,4,C3,4-c3-enum,枚举法,有次序地一一列举出所有可能。,用1、2、3能组成几个无重复数字的两位数？（答案：6个）,,,3,active
c3-am,g4-c3-c3-am,4,C3,4-c3-am,加法与乘法原理,分类用加法原理，分步用乘法原理计数。,上衣3件、裤子2件，共有几种穿法？（答案：6种）,,,3,active
c3-perm,g4-c3-c3-perm,4,C3,4-c3-perm,排列组合初步,初步认识排列与组合的区别。,从3人中选2人排成一排有几种？（答案：6种）,,,3,active
c3-geomcount,g4-c3-c3-geomcount,4,C3,4-c3-geomcount,几何计数,数出图形中的线段、角、三角形个数。,一条线段上有4个点，共有几条线段？（答案：10条）,,,3,active
c3-worst,g4-c3-c3-worst,4,C3,4-c3-worst,最不利原则,考虑最坏情况，保证结论必然成立。,两色球各若干，至少拿几个保证同色？（答案：3个）,,,3,active
c4-pa,g4-c4-c4-pa,4,C4,4-c4-pa,周长与面积,理解周长与面积的区别与联系。,边长为4的正方形，周长和面积各是？（答案：周长16，面积16）,,,3,active
c4-cutfill,g4-c4-c4-cutfill,4,C4,4-c4-cutfill,割补法,用割补法把不规则图形转化为规则图形求面积。,把不规则图形割补成长方形求面积。,,,3,active
c4-angle,g4-c4-c4-angle,4,C4,4-c4-angle,角度初步,认识角度的计算与和差关系。,∠1+∠2=90°，∠1=30°，∠2=?（答案：60°）,,,3,active
c4-count,g4-c4-c4-count,4,C4,4-c4-count,图形计数,有次序地数出图形的个数。,数出图中三角形的个数。,,,3,active
c4-transform,g4-c4-c4-transform,4,C4,4-c4-transform,平移旋转与对称,认识图形的对称、平移与旋转。,判断下列图形是否轴对称。,,,3,active
c4-solid,g4-c4-c4-solid,4,C4,4-c4-solid,立体图形初步,认识常见立体图形的特征与展开图。,正方体有几个面？（答案：6个）,,,3,active
c5-basic,g4-c5-c5-basic,4,C5,4-c5-basic,基本行程,用路程=速度×时间解决基本行程问题。,速度4米/秒，走10秒，路程？（答案：40米）,,,3,active
c5-meet,g4-c5-c5-meet,4,C5,4-c5-meet,相遇问题,两人相向而行，路程和=速度和×时间。,相距100米，两人速度和10，几秒相遇？（答案：10秒）,,,3,active
c5-chase,g4-c5-c5-chase,4,C5,4-c5-chase,追及问题,同向而行，追及时间=路程差÷速度差。,甲速6、乙速4，相差20米，几秒追上？（答案：10秒）,,,3,active
c5-train,g4-c5-c5-train,4,C5,4-c5-train,火车过桥,考虑车长，路程=桥长+车长。,车长100米过200米桥，完全通过要走？（答案：300米）,,,3,active
c5-river,g4-c5-c5-river,4,C5,4-c5-river,流水行船,顺速=静水速+水速，逆速=静水速-水速。,静水速10、水速2，顺水速度？（答案：12）,,,3,active
c8-extreme,g4-c8-c8-extreme,4,C8,4-c8-extreme,最值问题,求某个量的最大值或最小值。,用1-9各用一次，组成最大的三位数是？（答案：987）,,,3,active
c8-drawer,g4-c8-c8-drawer,4,C8,4-c8-drawer,抽屉原理,物体数比抽屉数多时，必有抽屉含多个物体。,5个苹果放4个抽屉，必有抽屉至少几个？（答案：2个）,,,3,active
c8-logic,g4-c8-c8-logic,4,C8,4-c8-logic,逻辑推理,综合多个条件进行逻辑推理。,三人各说一句话，只有一人说真话，推理出真相。,,,3,active
c9-integrated,g4-c9-c9-integrated,4,C9,4-c9-integrated,综合应用题,综合多个知识点解决较复杂的应用题。,结合分数、比例、几何的综合应用题。,,,3,placeholder
c9-misc,g4-c9-c9-misc,4,C9,4-c9-misc,杂题选讲（统筹/操作）,统筹优化与操作类趣味题选讲。,怎样用天平最省次数找出次品？,,,3,placeholder
c9-mock,g4-c9-c9-mock,4,C9,4-c9-mock,模拟竞赛卷,按竞赛风格组卷进行模拟练习。,完成一份模拟竞赛卷。,,,3,placeholder
g5-oral-decmul,g5-m1-g5-oral-decmul,5,M1,5-g5-oral-decmul,小数乘法口算,小数乘整数或小数的口算。,0.3×4=?（答案：1.2）,,,1,active
g5-oral-decdiv,g5-m1-g5-oral-decdiv,5,M1,5-g5-oral-decdiv,小数除法口算,小数除以整数等简单口算。,0.8÷2=?（答案：0.4）,,,1,active
g5-oral-fracadd,g5-m1-g5-oral-fracadd,5,M1,5-g5-oral-fracadd,同分母分数加减法口算,同分母分数加减法，分母不变分子相加减。,1/5+2/5=?（答案：3/5）,,,1,active
